,State,Postal,Population
0,California,CA,38802500.0
1,Texas,TX,26956958.0
2,Florida,FL,19893297.0
3,New York,NY,19746227.0
4,Pennsylvania,PA,12787209.0
5,Illinois,IL,12880580.0
6,Ohio,OH,11594163.0
7,Georgia,GA,10097343.0
8,North Carolina,NC,9943964.0
9,Michigan,MI,9909877.0
10,New Jersey,NJ,8938175.0
11,Virginia,VA,8326289.0
12,Washington,WA,7061530.0
13,Arizona,AZ,6731484.0
14,Massachusetts,MA,6745408.0
15,Tennessee,TN,6549352.0
16,Indiana,IN,6596855.0
17,Maryland,MD,5976407.0
18,Missouri,MO,6063589.0
19,Wisconsin,WI,5757564.0
20,Colorado,CO,5355866.0
21,Minnesota,MN,5457173.0
22,South Carolina,SC,4832482.0
23,Alabama,AL,4849377.0
24,Louisiana,LA,4649676.0
25,Kentucky,KY,4413457.0
26,Oregon,OR,3970239.0
27,Oklahoma,OK,3878051.0
28,Connecticut,CT,3596677.0
29,Utah,UT,2942902.0
30,Iowa,IA,3107126.0
31,Nevada,NV,2839098.0
32,Arkansas,AR,2966369.0
33,Mississippi,MS,2994079.0
34,Kansas,KS,2904021.0
35,New Mexico,NM,2085572.0
36,Nebraska,NE,1881503.0
37,Idaho,ID,1634464.0
38,West Virginia,WV,1850326.0
39,Hawaii,HI,1419561.0
40,New Hampshire,NH,1326813.0
41,Maine,ME,1330089.0
42,Rhode Island,RI,1055173.0
43,Montana,MT,1023579.0
44,Delaware,DE,935614.0
45,South Dakota,SD,853175.0
46,North Dakota,ND,739482.0
47,Alaska,AK,736732.0
48,Vermont,VT,626562.0
49,Wyoming,WY,584153.0
